FEE_GRP,FEE_TYPE
PHI THANH TOAN TO CHUC THE,PHI TRA TO CHUC THE VISA
PHI THANH TOAN TO CHUC THE,PHI NHA THAU DICH VU VISA
PHI THANH TOAN TO CHUC THE,PHI TRA TO CHUC THE MASTER
PHI THANH TOAN TO CHUC THE,PHI NHA THAU DICH VU MASTER
PHI THANH TOAN TO CHUC THE,PHI TRA TO CHUC THE JCB
PHI THANH TOAN TO CHUC THE,PHI NHA THAU DICH VU JCB
PHI THANH TOAN TO CHUC THE,PHI TRA TO CHUC THE UPI
PHI THANH TOAN TO CHUC THE,PHI NHA THAU DICH VU UPI
PHI THANH TOAN TO CHUC THE,PHI TRA NAPAS 
PHI THANH TOAN TO CHUC THE,PHI TRA NAPAS KHAC
PHI THANH TOAN TO CHUC THE,PHI TAI TUC SBLC
PHI THANH TOAN TO CHUC THE,PHI TRA NAPAS GIAO DICH QUA ATMPOS VA ECOM
PHI CHAM SOC KHACH HANG,PHI HOAN TIEN CHO GIAO DICH SU DUNG THE
PHI KET CHUYEN HO DVKD,PHI CHIA SE GIUA HO DVKD VE DSSD VA GIAO DICH THANH TOAN PRUDENTIAL
PHI KET CHUYEN HO DVKD,KET CHUYEN GIUA HO DVKD PHI NAPAS
PHI KET CHUYEN HO DVKD,KET CHUYEN GIUA HO DVKD PHI PHOT HANH THE
PHI KET CHUYEN HO DVKD,KET CHUYEN GIUA HO DVKD PHI GIAO DICH THANH TOAN THE
PHI KET CHUYEN HO DVKD,CHIA SE PHI TRA GUP UU DOI BAO HIEM GEN
PHI KET CHUYEN HO DVKD,PHI KHAC
PHI KHAC PHI HOI SO,PHI CHI KHAC TAI HOI SO
PHI DON VI KINH DOANH,PHI CHI KHAC TAI DVKD
PHI THU DICH VU PHAT HANH HOI SO,PHI INTERCHANGE THE EIB GIAO DICH NGOAI HE THONG
PHI THU DICH VU PHAT HANH HOI SO,PHI THANH TOAN TRUC TUYEN BANG THE NOI DIA
PHI THU DICH VU PHAT HANH HOI SO,THU PHI DCOM KIEU HOI
PHI THU DICH VU PHAT HANH DVKD,PHI THUONG NIEN
PHI THU DICH VU PHAT HANH DVKD,PHI PHAT HANH
PHI THU DICH VU PHAT HANH DVKD,PHI RUT TIEN MAT NGOAI HE THONG THE GHI NO QUOC TE
PHI THU DICH VU PHAT HANH DVKD,PHI RUT TIEN MAT TAI QUAY THE GHI NO QUOC TE
PHI THU DICH VU PHAT HANH DVKD,PHI GIAO DICH CHUYEN KHOAN CUA THE VTOP TAI ATM NGOAI MANG
PHI THU DICH VU PHAT HANH DVKD,PHI GIAO DICH TRUY VAN IN SAO KE CUA THE VTOP TAI ATM NGOAI MANG
PHI THU DICH VU PHAT HANH DVKD,PHI GIAO DICH RUT TIEN MAT CUA THE VTOP TAI ATM NGOAI MANG
PHI THU DICH VU PHAT HANH DVKD,PHI CHUYEN KHOAN NHANH QUA THE TREN IB MB
PHI THU DICH VU PHAT HANH DVKD,PHI SMS ALERT
PHI THU DICH VU PHAT HANH DVKD,PHI KHAC THU TAY
PHI THU DICH VU PHAT HANH DVKD,THU PHI TAT TOAN CUOI NGAY
PHI THU DICH VU PHAT HANH DVKD,PHI DICH VU KHAC
PHI DICH VU THANH TOAN,THU PHI CHIET KHAU GIAO DICH THANH TOAN THE
PHI DICH VU THANH TOAN,PHI GIAO DICH CHUYEN KHOAN CUA THE VTOP TAI ATM NOI MANG
PHI DICH VU THANH TOAN,PHI GIAO DICH RUT TIEN MAT CUA THE VTOP TAI ATM NOI MANG
PHI DICH VU THANH TOAN,THU PHI GIAO DICH THANH TOAN PRUDENTIAL
PHI DICH VU THANH TOAN,THU PHI GENERALI
PHI DICH VU THANH TOAN,PHI RUT TIEN MAT TAI POS
PHI DICH VU THANH TOAN,PHI KHAC DV THANH TOAN THE PHI QUAN LY TRA GOP
PHI DICH VU THANH TOAN,PHI THU NAPAS GIAO DICH LIEN MINH TAI ATM
PHI KET CHUYEN HO DVKD,KET CHUYEN GIUA HO DVKD PHI PHAT HANH THE
PHI KET CHUYEN HO DVKD,PHI CHIA SE PHI PRUDENTIAL VA PHI INTERCHANGE TU DSSD THE
PHI KHAC,PHI THU KHAC TAI HOI SO
PHI KHAC,PHI THU KHAC TAI DVKD
PHI KET CHUYEN HO DVKD,CHIA SE PHI TRA GOP UU DOI BAO HIEM GEN
