"CRNCY_CODE","ENTITY_CRE_FLG","DEL_FLG","CRNCY_NAME","CNTRY_CODE","DCML_DESC","PERM_CRNCY_FLG","EEFC_ALWD_FLG","AMT_RND_STAT","AMT_RND_AMT","MIN_RATE","MAX_RATE","SEQ_NUM","GRACE_PERD","NOSTRO_ACCT_NUM","RCRE_USER_ID","RCRE_TIME","LCHG_USER_ID","LCHG_TIME","IS_CRNCY_GRP","CRNCY_GRP_CODE","CRNCY_OVERNIGHT_LIM","CRNCY_DAYLIGHT_LIM","DFLT_CORRES_CODE","NUM_OF_DEC_POINTS","NUM_OF_SIG_DIGITS","POSITION_FOR_POINTS","RESTRICT_FLG","CURR_INT_RATE","ROUNDOFF_FACTOR","SCALING_FACTOR","AUTO_REPLICATION_REQ","CRNCY_ALIAS_NUM","MANTISSA_DESC","CRNCY_LIMIT","TS_CNT","CERT_DEPOSIT_LIMIT","ISO_CODE","ROUTING_CRNCY_CODE","ROUTING_IND","CRNCY_LIMIT_B2KID","PREF_LANG_CODE","PREF_LANG_CURRENCY_NAME","PREF_LANG_CURRENCY_DESC","BANK_ID","WKLY_OFF1","WKLY_OFF2","ALT1_CRNCY_NAME"
AUD,Y,N,ĐÔ LA ÚC,AU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01",,,
CAD,Y,N,ĐÔ LA CANADA,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01",,,
CHF,Y,N,FRANC THỤY SĨ,CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01",,,
CNY,Y,N,ĐỒNG NHÂN DÂN TỆ,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01",,,
DEM,Y,N,MARK ĐỨC,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01",,,
DKK,Y,N,KRONE ĐAN MẠCH,DK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01",,,
EUR,Y,N,ĐỒNG EURO,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01",,,
FRF,Y,N,FRANC PHÁP,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01",,,
GBP,Y,N,BẢNG ANH,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01",,,
GD1,Y,N,VÀNG SJC 9999,GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01",,,
GD2,Y,N,VÀNG TK NƯỚC NGOÀI,GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01",,,
GD3,Y,N,VÀNG SJC TRÊN SÀN,GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01",,,
GD4,Y,N,VÀNG NGUYÊN LIỆU TN,GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01",,,
GD5,Y,N,VÀNG NHẪN SJC 99.99%,GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01",,,
HKD,Y,N,ĐÔ LA HỒNG KÔNG,HK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01",,,
INR,Y,N,RUPI ẤN ĐỘ,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01",,,
JPY,Y,N,YÊN NHẬT,JP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01",,,
KRW,Y,N,WON HÀN QUỐC,KR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01",,,
MYR,Y,N,RINGGIT MALAYSIA,MY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01",,,
NOK,Y,N,KRONE NA UY,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01",,,
NZD,Y,N,DOLLAR NEW ZEALAND,NZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01",,,
SEK,Y,N,KRONA THỤY ĐIỂN,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01",,,
SGD,Y,N,ĐÔ LA SINGAPORE,SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01",,,
THB,Y,N,BAHT THÁI LAN,TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01",,,
TWD,Y,N,DOLLAR ĐÀI LOAN MỚI,TW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01",,,
USD,Y,N,ĐÔ LA MỸ,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01",,,
VND,Y,N,VIỆT NAM ĐỒNG,VN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01",,,
